Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
41985;0;0,31;0;0;0;0,03;0;0;0;
41985,25;0;0,31;0;0;0;0,04;0;0;0;
41985,5;0;0,3;0;0;0;0,11;0;0;0;
41985,75;0;0,3;0;0;0;0,12;0;0;0;
41986;0;0,27;0;0;0;0,11;0;0;0;
41986,25;0;0,21;0;0;0;0,11;0;0;0;
41986,5;0;0,22;0;0;0;0,11;0;0;0;
41986,75;0;0,2;0;0;0;0,12;0;0;0;
41987;0;-0,01;0;0;0;0,11;0;0;0;
41987,25;0;-0,06;0;0;0;0,09;0;0;0;
41987,5;0;-0,03;0;0;0;0,06;0;0;0;
41987,75;0;-0,04;0;0;0;0,08;0;0;0;
41988;0;-0,03;0;0;0;0,17;0;0;0;
41988,25;0;-0,04;0;0;0;0,05;0;0;0;
41988,5;0;-0,03;0;0;0;-0,08;0;0;0;
41988,75;0;0,02;0;0;0;-0,06;0;0;0;
41989;0;0,08;0;0;0;-0,04;0;0;0;
41989,25;0;-0,04;0;0;0;-0,05;0;0;0;
41989,5;0;-0,28;0;0;0;-0,04;0;0;0;
41989,75;0;0,05;0;0;0;-0,05;0;0;0;
41990;0;0,23;0;0;0;-0,07;0;0;0;
41990,25;3,24;0,11;0,85;1,81;1,41;-0,1;-0,97;-1,02;-0,97;
41990,5;3,06;0,08;0,75;1,85;1,41;-0,08;-0,88;-1,07;-1,04;
41990,75;2,87;0,1;0,51;1,76;1,41;-0,14;-0,83;-1,06;-1,1;
41991;2,69;0,09;0,42;1,71;1,41;-0,26;-0,61;-0,95;-1,09;
41991,25;2,47;0,1;0,22;1,71;1,41;-0,21;-0,42;-0,76;-1,08;
41991,5;2,1;0,17;0,12;1,71;1,41;-0,16;-0,08;-0,47;-0,99;
